,vaccinated,vaccinated_min,vaccinated_max,fully_vaccinated,fully_vaccinated_min,fully_vaccinated_max,single_dose_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,6000.0,6000.0,6000.0,0.0,0.0,0.0,6000.0,6000.0,6000.0
2021-01-07,15000.0,15000.0,15000.0,0.0,0.0,0.0,15000.0,15000.0,15000.0
2021-01-08,27000.0,27000.0,27000.0,0.0,0.0,0.0,27000.0,27000.0,27000.0
2021-01-09,30000.0,30000.0,30000.0,0.0,0.0,0.0,30000.0,30000.0,30000.0
2021-01-10,34000.0,34000.0,34000.0,0.0,0.0,0.0,34000.0,34000.0,34000.0
2021-01-11,35500.0,35500.0,35500.0,0.0,0.0,0.0,35500.0,35500.0,35500.0
2021-01-12,45000.0,45000.0,45000.0,0.0,0.0,0.0,45000.0,45000.0,45000.0
2021-01-13,47000.0,47000.0,47000.0,0.0,0.0,0.0,47000.0,47000.0,47000.0
2021-01-14,51000.0,51000.0,51000.0,0.0,0.0,0.0,51000.0,51000.0,51000.0
2021-01-15,55000.0,55000.0,55000.0,0.0,0.0,0.0,55000.0,55000.0,55000.0
2021-01-16,66000.0,66000.0,66000.0,0.0,0.0,0.0,66000.0,66000.0,66000.0
2021-01-17,77000.0,77000.0,77000.0,0.0,0.0,0.0,77000.0,77000.0,77000.0
2021-01-18,92698.0,92698.0,92698.0,0.0,0.0,0.0,92698.0,92698.0,92698.0
2021-01-19,108397.0,108397.0,108397.0,0.0,0.0,0.0,108397.0,108397.0,108397.0
2021-01-20,124096.0,124096.0,124096.0,0.0,0.0,0.0,124096.0,124096.0,124096.0
2021-01-21,149628.0,149628.0,149628.0,0.0,0.0,0.0,149628.0,149628.0,149628.0
2021-01-22,175160.0,175160.0,175160.0,0.0,0.0,0.0,175160.0,175160.0,175160.0
2021-01-23,188998.0,188998.0,188998.0,0.0,0.0,0.0,188998.0,188998.0,188998.0
2021-01-24,202836.0,202836.0,202836.0,0.0,0.0,0.0,202836.0,202836.0,202836.0
2021-01-25,215107.0,215107.0,215107.0,0.0,0.0,0.0,215107.0,215107.0,215107.0
2021-01-26,245926.0,245926.0,245926.0,0.0,0.0,0.0,245926.0,245926.0,245926.0
2021-01-27,265676.0,265676.0,265676.0,0.0,0.0,0.0,265676.0,265676.0,265676.0
2021-01-28,290602.0,285802.0,291802.0,1200.0,0.0,6000.0,289402.0,279802.0,291802.0
2021-01-29,307682.0,296882.0,311882.0,4200.0,0.0,15000.0,303482.0,281882.0,311882.0
2021-01-30,321114.0,303714.0,330714.0,9600.0,0.0,27000.0,311514.0,276714.0,330714.0
2021-01-31,331190.0,316790.0,346790.0,15600.0,0.0,30000.0,315590.0,286790.0,346790.0
