date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-06,3835,3835,3835,0,0,0,3835,3835,3835
2021-01-07,10221,10221,10221,0,0,0,10221,10221,10221
2021-01-08,17996,17996,17996,0,0,0,17996,17996,17996
2021-01-09,25760,25760,25760,0,0,0,25760,25760,25760
2021-01-10,33753,33753,33753,0,0,0,33753,33753,33753
2021-01-11,43344,43344,43344,0,0,0,43344,43344,43344
2021-01-12,50390,50390,50390,0,0,0,50390,50390,50390
2021-01-13,56048,56048,56048,0,0,0,56048,56048,56048
2021-01-14,61703,61703,61703,0,0,0,61703,61703,61703
2021-01-15,67128,67128,67128,0,0,0,67128,67128,67128
2021-01-16,72091,72091,72091,0,0,0,72091,72091,72091
2021-01-17,77054,77054,77054,0,0,0,77054,77054,77054
2021-01-18,92699,92699,92699,0,0,0,92699,92699,92699
2021-01-19,108344,108344,108344,0,0,0,108344,108344,108344
2021-01-20,123988,123988,123988,0,0,0,123988,123988,123988
2021-01-21,139629,139629,139629,0,0,0,139629,139629,139629
2021-01-22,156121,156121,156121,0,0,0,156121,156121,156121
2021-01-23,169149,169149,169149,0,0,0,169149,169149,169149
2021-01-24,182176,182176,182176,0,0,0,182176,182176,182176
2021-01-25,196531,200366,198448,0,0,0,192696,200366,196531
2021-01-26,211809,222030,216920,0,10221,5110,201588,222030,211809
2021-01-27,232570,250566,241568,0,17996,8998,214574,250566,232570
2021-01-28,257282,283042,270162,0,25760,12880,231522,283042,257282
2021-01-29,285904,319657,302780,0,33753,16876,252151,319657,285904
2021-01-30,286054,324082,305068,0,38028,19014,248026,324082,286054
2021-01-31,301800,348355,325078,3835,50390,27112,251410,344520,297965
2021-02-01,330602,376429,353516,10221,56048,33134,274554,366208,320381
2021-02-02,359570,403277,381424,17996,61703,39850,297867,385281,341574
2021-02-03,386953,428321,407637,25760,67128,46444,319825,402561,361193
2021-02-04,416582,454920,435751,33753,72091,52922,344491,421167,382829
2021-02-05,444894,478604,461749,43344,77054,60199,367840,435260,401550
2021-02-06,457424,499285,478354,50390,92251,71320,365173,448895,407034
2021-02-07,465875,517275,491575,56048,107448,81748,358427,461227,409827
2021-02-08,499007,544752,521880,61703,107448,84576,391559,483049,437304
2021-02-09,531292,571612,551452,67128,107448,87288,423844,504484,464164
2021-02-10,548065,598618,573342,72091,122644,97368,425421,526527,475974
2021-02-11,564802,625585,595194,77054,137837,107446,426965,548531,487748
2021-02-12,580711,642317,611514,92251,153857,123054,426854,550066,488460
2021-02-13,596066,655578,625822,107448,166960,137204,429106,548130,488618
2021-02-14,611419,684033,647726,107448,180062,143755,431357,576585,503971
2021-02-15,628840,715638,672239,107448,194246,150847,434594,608190,521392
2021-02-16,645456,747243,696350,107448,209235,158342,436221,639795,538008
2021-02-17,660564,782613,721588,107448,229497,168472,431067,675165,553116
2021-02-18,673302,819331,746316,107448,253477,180462,419825,711883,565854
2021-02-19,686096,858339,772218,107448,279691,193570,406405,750891,578648
2021-02-20,722020,881221,801620,122644,281845,202244,440175,758577,599376
2021-02-21,744566,904101,824334,137837,297372,217604,447194,766264,606729
2021-02-22,758051,925861,841956,153857,321667,237762,436384,772004,604194
2021-02-23,773654,956423,865038,166960,349729,258344,423925,789463,606694
2021-02-24,791755,993882,892818,180062,382189,281126,409566,813820,611693
2021-02-25,815413,1029262,922338,198081,411930,305006,403483,831181,617332
2021-02-26,872357,1065787,969072,219456,412886,316171,459471,846331,652901
2021-02-27,924322,1090648,1007485,247493,413819,330656,510503,843155,676829
2021-02-28,972415,1109036,1040726,278136,414757,346446,557658,830900,694279
2021-03-01,1016807,1123037,1069922,309415,415645,362530,601162,813622,707392
2021-03-02,1062260,1158969,1110614,319873,416582,368228,645678,839096,742387
2021-03-03,1106007,1179563,1142785,343927,417483,380705,688524,835636,762080
2021-03-04,1149350,1195545,1172448,372039,418234,395136,731116,823506,777311
2021-03-05,1163659,1210890,1187274,399054,446285,422670,717374,811836,764605
2021-03-06,1189297,1223870,1206584,424456,459029,441742,730268,799414,764841
2021-03-07,1214929,1234635,1224782,448075,467781,457928,747148,786560,766854
2021-03-08,1231221,1272582,1251902,451224,492585,471904,738636,821358,779997
2021-03-09,1247785,1313391,1280588,452157,517763,484960,730022,861234,795628
2021-03-10,1273426,1354250,1313838,453095,533919,493507,739507,901155,820331
2021-03-11,1314783,1395100,1354942,453983,534300,494142,780483,941117,860800
2021-03-12,1353954,1433715,1393834,454920,534681,494800,819273,978795,899034
2021-03-13,1391930,1472359,1432144,455821,536250,496036,855680,1016538,936109
2021-03-14,1429884,1511131,1470508,456572,537819,497196,892065,1054559,973312
2021-03-15,1442759,1540913,1491836,457212,555366,506289,887393,1083701,985547
2021-03-16,1455685,1570571,1513128,458177,573063,515620,882622,1112394,997508
2021-03-17,1469515,1577692,1523604,481901,590078,535990,879437,1095791,987614
2021-03-18,1483534,1587564,1535549,502762,606792,554777,876742,1084802,980772
2021-03-19,1497337,1599681,1548509,521042,623386,572214,873951,1078639,976295
2021-03-20,1526578,1602713,1564646,548401,624536,586468,902042,1054312,978177
2021-03-21,1555621,1606436,1581028,575068,625883,600476,929738,1031368,980553
2021-03-22,1584375,1619542,1601958,592309,627476,609892,956899,1027233,992066
2021-03-23,1608305,1633128,1620716,612702,637525,625114,970780,1020426,995603
2021-03-24,1645619,1652236,1648928,639599,646216,642908,999403,1012637,1006020
2021-03-25,1675555,1685884,1680720,651894,662223,657058,1013332,1033990,1023661
2021-03-26,1695125,1731073,1713099,654426,690374,672400,1004751,1076647,1040699
2021-03-27,1737593,1775832,1756712,656371,694610,675490,1042983,1119461,1081222
2021-03-28,1781863,1796877,1789370,682026,697040,689533,1084823,1114851,1099837
2021-03-29,1842321,1847442,1844882,694349,699470,696910,1142851,1153093,1147972
2021-03-30,1886049,1912220,1899134,696357,722528,709442,1163521,1215863,1189692
2021-03-31,1935572,1982674,1959123,698367,745469,721918,1190103,1284307,1237205
2021-04-01,1982043,2053531,2017787,699803,771291,735547,1210752,1353728,1282240
2021-04-02,2029679,2123455,2076567,704389,798165,751277,1231514,1419066,1325290
2021-04-03,2051503,2139880,2095692,738432,826809,782620,1224694,1401448,1313071
2021-04-04,2087844,2155683,2121764,771497,839336,805416,1248508,1384186,1316347
2021-04-05,2129700,2179693,2154696,801751,851744,826748,1277956,1377942,1327949
2021-04-06,2201922,2221602,2211762,841828,861508,851668,1340414,1379774,1360094
2021-04-07,2278297,2280656,2279476,875734,878093,876914,1400204,1404922,1402563
2021-04-08,2350118,2358671,2354394,898709,907262,902986,1442856,1459962,1451409
2021-04-09,2425150,2447667,2436408,915893,938410,927152,1486740,1531774,1509257
2021-04-10,2523689,2532404,2528046,932256,940971,936614,1582718,1600148,1591433
2021-04-11,2608277,2626057,2617167,938503,956283,947393,1651994,1687554,1669774
2021-04-12,2710013,2742218,2726116,940504,972709,956606,1737304,1801714,1769509
2021-04-13,2827005,2858503,2842754,942273,973771,958022,1853234,1916230,1884732
2021-04-14,2943501,2952488,2947994,965933,974920,970426,1968581,1986555,1977568
2021-04-15,3047548,3058288,3052918,974925,985665,980295,2061883,2083363,2072623
2021-04-16,3133827,3165472,3149650,979760,1011405,995582,2122422,2185712,2154067
2021-04-17,3215895,3268383,3242139,984449,1036937,1010693,2178958,2283934,2231446
2021-04-18,3296548,3370042,3333295,988212,1061706,1024959,2234842,2381830,2308336
2021-04-19,3376394,3474971,3425682,991578,1090155,1040866,2287735,2484889,2386312
2021-04-20,3461571,3552323,3506947,1015405,1106157,1060781,2356853,2538357,2447605
2021-04-21,3535093,3616440,3575766,1041397,1122744,1082070,2413634,2576328,2494981
2021-04-22,3600293,3672918,3636606,1067511,1140136,1103824,2461333,2606583,2533958
2021-04-23,3664763,3728575,3696669,1093686,1157498,1125592,2508428,2636052,2572240
2021-04-24,3730010,3785502,3757756,1118573,1174065,1146319,2557107,2668091,2612599
2021-04-25,3779897,3842214,3811056,1143453,1205770,1174612,2575286,2699920,2637603
2021-04-26,3838981,3908011,3873496,1172789,1241819,1207304,2602686,2740746,2671716
2021-04-27,3904623,3963294,3933958,1203672,1262343,1233008,2647790,2765132,2706461
2021-04-28,3973743,4017244,3995494,1233948,1277449,1255698,2701693,2788695,2745194
2021-04-29,4040529,4097337,4068933,1243703,1300511,1272107,2745723,2859339,2802531
2021-04-30,4103910,4174224,4139067,1255632,1325946,1290789,2783645,2924273,2853959
2021-05-01,4174056,4256448,4215252,1270482,1352874,1311678,2827328,2992112,2909720
2021-05-02,4233952,4338683,4286318,1274964,1379695,1327330,2859869,3069331,2964600
2021-05-03,4330633,4434095,4382364,1281427,1384889,1333158,2952155,3159079,3055617
2021-05-04,4392733,4527020,4459876,1284565,1418852,1351708,2980053,3248627,3114340
2021-05-05,4459385,4637030,4548208,1289663,1467308,1378486,2999301,3354591,3176946
2021-05-06,4522002,4745629,4633816,1294455,1518082,1406268,3011166,3458420,3234793
