date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated,total_vaccinations
2021-01-03,0,0,0,0,0,0,0,0,0,0
2021-01-04,4822,4822,4822,0,0,0,4822,4822,4822,4822
2021-01-05,9643,9643,9643,0,0,0,9643,9643,9643,9643
2021-01-06,14465,14465,14465,0,0,0,14465,14465,14465,14465
2021-01-07,19287,19287,19287,0,0,0,19287,19287,19287,19287
2021-01-08,24109,24109,24109,0,0,0,24109,24109,24109,24109
2021-01-09,28930,28930,28930,0,0,0,28930,28930,28930,28930
2021-01-10,33752,33752,33752,0,0,0,33752,33752,33752,33752
2021-01-11,39919,39919,39919,0,0,0,39919,39919,39919,39919
2021-01-12,46086,46086,46086,0,0,0,46086,46086,46086,46086
2021-01-13,52253,52253,52253,0,0,0,52253,52253,52253,52253
2021-01-14,58421,58421,58421,0,0,0,58421,58421,58421,58421
2021-01-15,64588,64588,64588,0,0,0,64588,64588,64588,64588
2021-01-16,70755,70755,70755,0,0,0,70755,70755,70755,70755
2021-01-17,76922,76922,76922,0,0,0,76922,76922,76922,76922
2021-01-18,89682,89682,89682,0,0,0,89682,89682,89682,89682
2021-01-19,102443,102443,102443,0,0,0,102443,102443,102443,102443
2021-01-20,115203,115203,115203,0,0,0,115203,115203,115203,115203
2021-01-21,127964,127964,127964,0,0,0,127964,127964,127964,127964
2021-01-22,140724,140724,140724,0,0,0,140724,140724,140724,140724
2021-01-23,148663,153485,151074,0,0,0,143841,153485,148663,153485
2021-01-24,156602,166245,161424,0,0,0,146959,166245,156602,166245
2021-01-25,178258,192723,185490,0,0,0,163793,192723,178258,192723
2021-01-26,199913,219200,209556,0,19287,9644,180626,219200,199913,219200
2021-01-27,221569,245678,233624,0,24109,12054,197460,245678,221569,245678
2021-01-28,243224,272154,257689,0,28930,14465,214294,272154,243224,272154
2021-01-29,264880,293810,279345,4822,33752,19287,231128,288988,260058,298632
2021-01-30,285190,315466,300328,9643,39919,24781,245271,305823,275547,325109
2021-01-31,305501,337122,321312,14465,46086,30276,259415,322657,291036,351587
2021-02-01,330747,363713,347230,19287,52253,35770,278494,344426,311460,383000
2021-02-02,355992,390304,373148,24109,58421,41265,297571,366195,331883,414413
2021-02-03,381238,416896,399067,28930,64588,46759,316650,387966,352308,445826
2021-02-04,406484,443487,424986,33752,70755,52254,335729,409735,372732,477239
2021-02-05,431730,468733,450232,39919,76922,58420,354808,428814,391811,508652
2021-02-06,450750,493979,472364,46086,89315,67700,361435,447893,404664,540065
2021-02-07,469770,519225,494498,52253,101708,76980,368062,466972,417517,571478
2021-02-08,500702,543989,522346,58421,101708,80064,398994,485568,442281,602410
2021-02-09,531634,568754,550194,64588,101708,83148,429926,504166,467046,633342
2021-02-10,550173,593519,571846,70755,114101,92428,436072,522764,479418,664274
