date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated,total_vaccinations
2021-01-03,0,0,0,0,0,0,0,0,0,0
2021-01-04,4822,4822,4822,0,0,0,4822,4822,4822,4822
2021-01-05,9645,9645,9645,0,0,0,9645,9645,9645,9645
2021-01-06,14467,14467,14467,0,0,0,14467,14467,14467,14467
2021-01-07,19290,19290,19290,0,0,0,19290,19290,19290,19290
2021-01-08,24112,24112,24112,0,0,0,24112,24112,24112,24112
2021-01-09,28935,28935,28935,0,0,0,28935,28935,28935,28935
2021-01-10,33757,33757,33757,0,0,0,33757,33757,33757,33757
2021-01-11,39927,39927,39927,0,0,0,39927,39927,39927,39927
2021-01-12,46097,46097,46097,0,0,0,46097,46097,46097,46097
2021-01-13,52267,52267,52267,0,0,0,52267,52267,52267,52267
2021-01-14,58438,58438,58438,0,0,0,58438,58438,58438,58438
2021-01-15,64608,64608,64608,0,0,0,64608,64608,64608,64608
2021-01-16,70778,70778,70778,0,0,0,70778,70778,70778,70778
2021-01-17,76948,76948,76948,0,0,0,76948,76948,76948,76948
2021-01-18,89711,89711,89711,0,0,0,89711,89711,89711,89711
2021-01-19,102475,102475,102475,0,0,0,102475,102475,102475,102475
2021-01-20,115238,115238,115238,0,0,0,115238,115238,115238,115238
2021-01-21,128001,128001,128001,0,0,0,128001,128001,128001,128001
2021-01-22,140764,140764,140764,0,0,0,140764,140764,140764,140764
2021-01-23,148706,153528,151117,0,0,0,143884,153528,148706,153528
2021-01-24,156646,166291,161468,0,0,0,147001,166291,156646,166291
2021-01-25,178306,192773,185540,0,0,0,163839,192773,178306,192773
2021-01-26,199963,219253,209608,0,19290,9645,180673,219253,199963,219253
2021-01-27,221623,245735,233679,0,24112,12056,197511,245735,221623,245735
2021-01-28,243281,272216,257748,0,28935,14468,214346,272216,243281,272216
2021-01-29,264941,293876,279408,4822,33757,19290,231184,289054,260119,298698
2021-01-30,285251,315533,300392,9645,39927,24786,245324,305888,275606,325178
2021-01-31,305563,337193,321378,14467,46097,30282,259466,322726,291096,351660
2021-02-01,330820,363797,347308,19290,52267,35778,278553,344507,311530,383087
2021-02-02,356076,390402,373239,24112,58438,41275,297638,366290,331964,414514
2021-02-03,381333,417006,399170,28935,64608,46772,316725,388071,352398,445941
2021-02-04,406591,443612,425102,33757,70778,52268,335813,409855,372834,477369
2021-02-05,431848,468869,450358,39927,76948,58438,354900,428942,391921,508796
2021-02-06,450879,494126,472502,46097,89344,67720,361535,448029,404782,540223
2021-02-07,469910,519383,494646,52267,101740,77004,368170,467116,417643,571650
2021-02-08,500893,544195,522544,58438,101740,80089,399153,485757,442455,602633
2021-02-09,531876,569008,550442,64608,101740,83174,430136,504400,467268,633616
2021-02-10,550463,593821,572142,70778,114136,92457,436327,523043,479685,664599
