date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-05,0,0,0,0,0,0,0,0,0
2021-01-06,6000,6000,6000,0,0,0,6000,6000,6000
2021-01-07,15000,15000,15000,0,0,0,15000,15000,15000
2021-01-08,27000,27000,27000,0,0,0,27000,27000,27000
2021-01-09,30000,30000,30000,0,0,0,30000,30000,30000
2021-01-10,34000,34000,34000,0,0,0,34000,34000,34000
2021-01-11,35500,35500,35500,0,0,0,35500,35500,35500
2021-01-12,45000,45000,45000,0,0,0,45000,45000,45000
2021-01-13,47000,47000,47000,0,0,0,47000,47000,47000
2021-01-14,51000,51000,51000,0,0,0,51000,51000,51000
2021-01-15,55000,55000,55000,0,0,0,55000,55000,55000
2021-01-16,66000,66000,66000,0,0,0,66000,66000,66000
2021-01-17,77000,77000,77000,0,0,0,77000,77000,77000
2021-01-18,92014,92014,92014,0,0,0,92014,92014,92014
2021-01-19,107029,107029,107029,0,0,0,107029,107029,107029
2021-01-20,122044,122044,122044,0,0,0,122044,122044,122044
2021-01-21,146892,146892,146892,0,0,0,146892,146892,146892
2021-01-22,171740,171740,171740,0,0,0,171740,171740,171740
2021-01-23,184894,184894,184894,0,0,0,184894,184894,184894
2021-01-24,198048,198048,198048,0,0,0,198048,198048,198048
2021-01-25,203634,209634,206634,0,0,0,197634,209634,203634
2021-01-26,224769,239769,232269,0,15000,7500,209769,239769,224769
2021-01-27,231835,258835,245335,0,27000,13500,204835,258835,231835
2021-01-28,254277,284277,269277,0,30000,15000,224277,284277,254277
2021-01-29,269673,303673,286673,0,34000,17000,235673,303673,269673
2021-01-30,286321,321821,304071,0,35500,17750,250821,321821,286321
2021-01-31,287850,326850,307350,6000,45000,25500,242850,320850,281850
2021-02-01,296880,328880,312880,15000,47000,31000,249880,313880,281880
2021-02-02,324907,348907,336907,27000,51000,39000,273907,321907,297907
2021-02-03,361092,386092,373592,30000,55000,42500,306092,356092,331092
2021-02-04,388997,420997,404997,34000,66000,50000,322997,386997,354997
2021-02-05,418534,460034,439284,35500,77000,56250,341534,424534,383034
2021-02-06,440702,487716,464209,45000,92014,68507,348688,442716,395702
2021-02-07,461833,521862,491848,47000,107029,77014,354804,474862,414833
2021-02-08,464331,521943,493137,49417,107029,78223,357302,472526,414914
2021-02-09,473889,540933,507411,55000,122044,88522,351845,485933,418889
2021-02-10,479253,560145,519699,66000,146892,106446,332361,494145,413253
2021-02-11,488543,583283,535913,77000,171740,124370,316803,506283,411543
2021-02-12,509993,602873,556433,92014,184894,138454,325099,510859,417979
2021-02-13,527126,618145,572636,107029,198048,152538,329078,511116,420097
