date,intakeCount,died,survivors,growth_intakeCount,sma5_growth_intakeCount
2020-02-12,1,0,0,,
2020-02-13,1,0,0,0.0,
2020-02-14,1,0,0,0.0,
2020-02-15,1,0,0,0.0,
2020-02-16,1,0,0,0.0,
2020-02-17,1,0,0,0.0,0.0
2020-02-18,1,0,0,0.0,0.0
2020-02-19,1,0,0,0.0,0.0
2020-02-20,1,0,0,0.0,0.0
2020-02-21,2,0,0,1.0,0.2
2020-02-22,2,0,0,0.0,0.2
2020-02-23,2,0,0,0.0,0.2
2020-02-24,2,0,0,0.0,0.2
2020-02-25,3,0,0,0.5,0.3
2020-02-26,3,0,0,0.0,0.1
2020-02-27,3,0,0,0.0,0.1
2020-02-28,3,0,0,0.0,0.1
2020-02-29,4,0,0,0.33333333333333326,0.16666666666666666
2020-03-01,5,0,0,0.25,0.11666666666666665
2020-03-02,5,0,0,0.0,0.11666666666666665
2020-03-03,6,0,0,0.19999999999999996,0.15666666666666665
2020-03-04,9,0,1,0.5,0.25666666666666665
2020-03-05,9,0,1,0.0,0.19
2020-03-06,11,0,1,0.22222222222222232,0.18444444444444447
2020-03-07,13,0,1,0.18181818181818188,0.22080808080808084
2020-03-08,17,2,1,0.3076923076923077,0.24234654234654238
2020-03-09,21,2,1,0.23529411764705888,0.18940536587595416
2020-03-10,29,2,1,0.38095238095238093,0.26559584206643033
2020-03-11,38,3,1,0.31034482758620685,0.28322036313922727
2020-03-12,59,4,1,0.5526315789473684,0.35738304256506453
2020-03-13,69,4,1,0.1694915254237288,0.3297428861113488
2020-03-14,86,4,2,0.24637681159420288,0.33195942490077757
2020-03-15,111,6,3,0.2906976744186047,0.31390848359402235
2020-03-16,140,10,5,0.26126126126126126,0.30409177032903323
2020-03-17,169,11,6,0.20714285714285707,0.23499402596813096
2020-03-18,221,14,7,0.3076923076923077,0.2626341824218467
2020-03-19,272,21,9,0.23076923076923084,0.2595126662568523
2020-03-20,351,25,14,0.2904411764705883,0.25946136666724906
2020-03-21,415,35,15,0.18233618233618243,0.24367635088223327
2020-03-22,463,41,17,0.11566265060240966,0.2253803095741438
2020-03-23,556,55,21,0.20086393088552912,0.20401463421278807
2020-03-24,638,63,23,0.14748201438848918,0.18735719093663974
2020-03-25,733,73,27,0.14890282131661436,0.15904951990584495
2020-03-26,818,91,32,0.1159618008185539,0.14577464360231923
2020-03-27,903,104,32,0.10391198044009786,0.1434245095698569
2020-03-28,963,120,34,0.06644518272425248,0.11654075993760156
2020-03-29,1017,142,34,0.05607476635514019,0.09825931033093176
2020-03-30,1076,157,34,0.058013765978367715,0.08008149926328242
2020-03-31,1079,163,34,0.0027881040892192566,0.057446759917415505
